date,time,bar,moves,edge,open,close,day
2018-06-21,02:34:00,269,21.5,0,1,0,1
2018-06-21,02:44:00,270,21.5,0,1,0,1
2018-06-21,02:54:00,271,24.5,0,1,0,1
2018-06-21,03:04:00,272,27,0,1,0,1
2018-06-21,03:14:00,273,24.5,0,1,0,1
2018-06-21,03:24:00,274,22,0,1,0,1
2018-06-21,03:34:00,275,22,0,1,0,1
2018-06-21,03:44:00,276,22,0,1,0,1
2018-06-21,03:54:00,277,25,0,1,0,1
2018-06-21,04:04:00,278,28.5,0,1,0,1
2018-06-21,04:14:00,279,25,0,1,0,1
2018-06-21,04:24:00,280,20.5,0,1,0,1
2018-06-21,04:34:00,281,20.5,0,1,0,1
2018-06-21,04:44:00,282,21,0,1,0,1
2018-06-21,04:54:00,283,25,0,1,0,1
2018-06-21,05:04:00,284,29.5,0,1,0,1
2018-06-21,05:14:00,285,25.5,0,1,0,1
2018-06-21,05:24:00,286,23.5,0,1,0,1
2018-06-21,05:34:00,287,26,0,1,0,1
2018-06-21,05:44:00,288,28,0,1,0,1
2018-06-21,05:54:00,289,30,0,1,0,1
2018-06-21,06:04:00,290,28.5,0,1,0,1
2018-06-21,06:14:00,291,27,0,1,0,1
2018-06-21,06:24:00,292,25.5,0,1,0,1
2018-06-21,06:34:00,293,24,0,1,0,1
2018-06-21,06:44:00,294,25.5,0,1,0,1
2018-06-21,06:54:00,295,27.5,0,1,0,1
2018-06-21,07:04:00,296,27,0,1,0,1
2018-06-21,07:14:00,297,25.5,0,1,0,1
2018-06-21,07:24:00,298,24.5,0,1,0,1
2018-06-21,07:34:00,299,24,0,1,0,1
2018-06-21,07:44:00,300,24.5,0,1,0,1
2018-06-21,07:54:00,301,27,0,1,0,1
2018-06-21,08:04:00,302,28.5,0,1,0,1
2018-06-21,08:14:00,303,25,0,1,0,1
2018-06-21,08:24:00,304,22.5,0,1,0,1
2018-06-21,08:34:00,305,23,0,1,0,1
2018-06-21,08:44:00,306,23,0,1,0,1
2018-06-21,08:54:00,307,25.5,0,1,0,1
2018-06-21,09:04:00,308,28.5,0,1,0,1
2018-06-21,09:14:00,309,26,0,1,0,1
2018-06-21,09:24:00,310,22.5,0,1,0,1
2018-06-21,09:34:00,311,22,0,1,0,1
2018-06-21,09:44:00,312,21.5,0,1,0,1
2018-06-21,09:54:00,313,25,0,1,0,1
2018-06-21,10:04:00,314,28.5,0,1,0,1
2018-06-21,10:14:00,315,24,0,1,0,1
2018-06-21,10:24:00,316,21,0,1,0,1
2018-06-21,10:34:00,317,21,0,1,0,1
2018-06-21,10:44:00,318,21.5,0,1,0,1
