Pair,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
AC102,BP/ LN Equity,0,-2.1,Oil & Gas Producers,Oil & Gas,Oil & Gas,0.8381799,SXEP Index,1.379135
AC102,BRBY LN Equity,0,-0.2,Personal Goods,Personal & Household Goods,Consumer Goods,1.448576,SXQP Index,0.5819758
AC102,BT/A LN Equity,0,-0.3,Fixed Line Telecommunications,Telecommunications,Telecommunications,-2.151926,SXKP Index,-0.4873369
AC102,CCH LN Equity,0,-0.1,Beverages,Food & Beverage,Consumer Goods,2.881291,SX3P Index,0.2192515
AC102,CCL LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,0.6993007,SXTP Index,0.5615551
AC102,CNA LN Equity,0,-0.2,"Gas, Water & Multiutilities",Utilities,Utilities,-0.3666361,SX6P Index,-0.4399267
AC102,CPG LN Equity,0,-0.5,Travel & Leisure,Travel & Leisure,Consumer Services,0.6293266,SXTP Index,0.5615551
AC102,CRDA LN Equity,0,-0.1,Chemicals,Chemicals,Basic Materials,0.3280705,SX4P Index,0.7524279
AC102,CRH ID Equity,0,-0.4,Construction & Materials,Construction & Materials,Industrials,-0.228385,SXOP Index,0.4328029
AC102,DCC LN Equity,0,-0.1,Support Services,Industrial Goods & Services,Industrials,0.2177068,SXNP Index,1.163616
AC102,DGE LN Equity,0,-1.2,Beverages,Food & Beverage,Consumer Goods,0.856414,SX3P Index,0.2192515
AC102,DLG LN Equity,0,-0.1,Nonlife Insurance,Insurance,Financials,0.179265,SXIP Index,0.0144087
AC102,EXPN LN Equity,0,-0.3,Support Services,Industrial Goods & Services,Industrials,0.7865758,SXNP Index,1.163616
AC102,EZJ LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,-1.165644,SXTP Index,0.5615551
AC102,FERG LN Equity,0,-0.3,Support Services,Industrial Goods & Services,Industrials,1.016227,SXNP Index,1.163616
AC102,GLEN LN Equity,0,-0.8,Mining,Basic Resources,Basic Materials,-2.475764,SXPP Index,-0.2781055
AC102,GSK LN Equity,0,-1.4,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.708489,SXDP Index,0.646873
AC102,GVC LN Equity,0,-0.1,Travel & Leisure,Travel & Leisure,Consumer Services,2.827521,SXTP Index,0.5615551
AC102,HL/ LN Equity,0,-0.1,Financial Services,Financial Services,Financials,2.831595,SXFP Index,-0.1056954
AC102,HLMA LN Equity,0,-0.1,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,1.568335,SXNP Index,1.163616
AC102,HSBA LN Equity,0,-2.6,Banks,Banks,Financials,-0.7858546,SX7P Index,-0.6109482
AC102,IAG LN Equity,0,-0.2,Travel & Leisure,Travel & Leisure,Consumer Services,-0.8494435,SXTP Index,0.5615551
AC102,IHG LN Equity,0,-0.2,Travel & Leisure,Travel & Leisure,Consumer Services,0.5275375,SXTP Index,0.5615551
AC102,III LN Equity,0,-0.2,Financial Services,Financial Services,Financials,0.1966354,SXFP Index,-0.1056954
AC102,IMB LN Equity,0,-0.5,Tobacco,Personal & Household Goods,Consumer Goods,-0.3772291,SXQP Index,0.5819758
AC102,INF LN Equity,0,-0.2,Media,Media,Consumer Services,1.120114,SXMP Index,0.9075618
AC102,ITRK LN Equity,0,-0.2,Support Services,Industrial Goods & Services,Industrials,0.533049,SXNP Index,1.163616
AC102,ITV LN Equity,0,-0.1,Media,Media,Consumer Services,0.4744627,SXMP Index,0.9075618
AC102,JE/ LN Equity,0,-0.1,General Retailers,Retail,Consumer Services,0.8571429,SXRP Index,0.6251879
