date,ABC,AC,DH,GJ,IB,JR,MC
2017-01-12,-0.0003752895731282,0.000341262437467267,-0.000409024569025427,-0.000196432607669911,2.7136155646593e-06,-0.000145133035952577,-3.19982901374024e-05
2017-01-13,0.000104446198893928,-0.000207573242906153,-0.000651642423248488,9.57617713329733e-05,1.53360438271433e-05,0.000628235467347206,-0.000508724267233234
2017-01-14,0,0,0,0,0,0,0
2017-01-15,0,0,0,0,0,0,0
2017-01-16,-0.000469497759314185,-0.000132863514658014,6.48258519760441e-05,0.00191377596600752,-1.24538539878078e-05,-0.000943433687994815,-0.000230859209958383
2017-01-17,0.000593074679710827,-2.74592550336556e-05,3.19133942537481e-05,-0.000358161658550646,-4.07551969445565e-05,0.00122436201595537,-0.00023490141541183
2017-01-18,-0.000279699496378778,-6.37074353792078e-05,0.000125975362469926,-0.000136247009444511,8.32113808995376e-05,-0.000642053288039335,0.000181881146829451
2017-01-19,0.000196597029031494,0.000176479725466039,0.000370747424662214,-3.71471233284556e-05,-1.31709607940508e-05,0.00070362298523082,0.000437558556746229
2017-01-20,0.000435319893783836,0.00036934817954296,-8.99764579286211e-05,-2.97939687554096e-05,7.52830072963446e-06,0.000627645510427831,0.000407514139447189
2017-01-21,0,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0,0
2017-01-23,0.000373277003962744,-0.000142974580347959,-0.000246268387991321,0.000637533983704437,-5.26983381256293e-05,-0.00102469791343945,0.000278862725322594
2017-01-24,0.000159400246963536,-0.00010717894790803,0.000101810515127467,-0.000415436521509136,-9.77261951242886e-06,0.000599897629593566,-0.00034893026733143
2017-01-25,-0.000222859348275581,-5.78809117142529e-05,0.000598648001817888,-0.00128727123049259,9.52206396117297e-06,0.00139709416468951,-0.000189319227657283
2017-01-26,0.000370398186820802,2.29136436466238e-05,0.000299394321557389,0.00020805779837819,6.86415212395949e-05,0.000821236451799815,0.000511325967583135
2017-01-27,0.000148183938950756,-0.000462491540635473,0.000154516021367926,-8.40436566090786e-05,-3.62952331785163e-05,-0.000160716286820811,0.00112206122223485
2017-01-28,0,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0,0
