date,ABC,AC,DH,GJ,IB,JR,MC
GFC FP Equity,0,0,0,0,0,0,0
GFS LN Equity,0,0,0,0,0,0,-0.00189387104115174
GIVN SE Equity,0,0,0,0,0,0,0
GJF NO Equity,0,0,0,0,0,0,0
GLB ID Equity,0,0,0,0,0,0,0
GLE FP Equity,0,0,0,0,0,0,0
GLEN LN Equity,0,0,0,0,0,0,0
GLJ GY Equity,0,0,0,0,0,0,0
GLO LN Equity,0.00196966411385592,0,0,0,0,0,0.00195149747966295
GLPG NA Equity,0,0,0,0,0,0,0
GN DC Equity,0,0,0,0,0,0,0
GPOR LN Equity,0,0,0,0,0,0,0
GRF SQ Equity,0,0,0,0,0,0,0
GSK LN Equity,0,0,0,0,0,0,0
GTO NA Equity,0,0,0,0,0,0,0
GVC LN Equity,0,0,0,0,0,0,0
GXI GY Equity,0,0,0,0,0,0,0
HAS LN Equity,0,0.00414092726366957,0,0,0,0,0
HEI GY Equity,0,0.00624241116017303,0,0,0,0,0
HEIA NA Equity,0,0.00477854487918578,0,0,0,0,0
HEIO NA Equity,0,0,0,0,0,0,0
HELN SE Equity,0,0,0,0,0,0,0
HEN GY Equity,0,0,0.00595758541300683,0,0,0,0
HEN3 GY Equity,0,0,0,0,0,0,0
HEXAB SS Equity,0,0,0,0,0,0,0
HL/ LN Equity,0,0,0,0,0,-0.00197200576616519,0
HLE GY Equity,0,0,0,0,0,0,0
HLMA LN Equity,0,0,0,0,0,0,0
HMB SS Equity,0,0,0,0,0,0,0
HMSO LN Equity,0,0,0,0,0,0,0
HNR1 GY Equity,0,0,0,0,0,0,0
HO FP Equity,0,0,0,0,0,0,0
HOT GY Equity,0,0,0,0,0,0,0
HPOLB SS Equity,0,0,0,0,0,0,0
HSBA LN Equity,-0.00199089817685379,0,0,0,0,-0.0106454183463122,0
HSV LN Equity,0,0,0,0,0,0,0
HSX LN Equity,0,0,0,0,0,0,0
HUH1V FH Equity,0,0,0,0,0,0,0
HUSQB SS Equity,0,0,0,0,0,0,0
HWDN LN Equity,0,0,0,0,0,0,0
IAG LN Equity,0,0,0,0,0,0,0
IBE SQ Equity,0,0,0,0,0,0,0
IBEX Index,0,0,-0.00694488280717211,0,0,0,0
IBST LN Equity,0,0.00304433069203165,0,0,0,0,0
ICA SS Equity,0,0,0,0,0,0,0
ICAD FP Equity,0,0,0,0,0,0,0
ICP LN Equity,0,0,0,0,0,0,0
IFX GY Equity,0,0,0,-0.00390534048310326,0,0,0
IG IM Equity,0,0,0,0,0,0,0
IGG LN Equity,0,0,0,0,0,0,0
IGY GY Equity,0,0,0,0,0,0,0
IHG LN Equity,0,0,0,0,0,0,0
III LN Equity,0,0,0,0,0,0,0.00187671267465432
ILD FP Equity,0,0,0,0,0,0,0
IMB LN Equity,0,0,0,0,0,0,0
IMCD NA Equity,0,0,0,0,0,0,0
IMI LN Equity,0,0,0,0,0,0,0
INCH LN Equity,0,0,0,0,0,0,0
INDUA SS Equity,0,0,0,0,0,0,0
INDV LN Equity,0,0,0,0,0,0,0
INF LN Equity,0.00305856992513127,0,0,0,0,0,0
ING FP Equity,0,0,0,0,0,0,0
INGA NA Equity,0,0,0,0,0,0,0
INTU LN Equity,0,0,0,0,0,0,0
INVEB SS Equity,0,0,0,0,0,0,0
INVP LN Equity,0,0,0,0,0,0,0
IPN FP Equity,0,0,0,0,0,0,0
ISAT LN Equity,0,0,0,0,0,0,0
ISP IM Equity,0,0,0,0,0,0,0
ISS DC Equity,0,0,0,0,0,0,0
ITRK LN Equity,0,0,0,-0.00625897473993505,0,0,0
ITV LN Equity,0,0,0,0,0,0,0
ITX SM Equity,0.00723407204138423,0,0,0,0,0,0
ITX SQ Equity,0,0,0,0,0,0,0
IWG LN Equity,0,0,0,0,0,0,0
JDW LN Equity,0,-0.00271920373533939,0,0,0,0,0
JE/ LN Equity,0,0,0,0,0,0,0
JMAT LN Equity,0.00656427065133664,0,0,0,0,0,0
JMT PL Equity,0,0,0,0,0,0,0
JUP LN Equity,0,0,0,0,0,0,0
JYSK DC Equity,0,0,0,0,0,0,0
KAZ LN Equity,0,0,0,0,0,0,0.00301485230684418
KBC BB Equity,0,0,0,0,0,0,0
KCR FH Equity,0,0,0,0,0,0,0
KER FP Equity,-0.00139683925757002,0,0,0,0,0,0
KESKOB FH Equity,0,0,0,0,0,0,0
KGF LN Equity,0,0,0,0,0,0,0
KGX GY Equity,0,0,0,0,0,0,0
KINDSDB SS Equity,0,0,0,0,0,0,0
KINVB SS Equity,0,0,0,0,0,0,0
KN FP Equity,0,0,0,0,0,0,0
KNEBV FH Equity,0,0,0,0,0,0,0
KNIN SE Equity,0,0,0,0,0,0,0
KOMB CK Equity,0,0,0,0,0,0,0
KPN NA Equity,0,0,0,0,0,0,0
KSP ID Equity,-0.00150961657800212,0,0,0,0,0,0
KYG ID Equity,-0.00241893844338263,0,0,0,0,0,0
LAND LN Equity,0,0.00809021690467735,0,0,0,0,0
LBK SM Equity,0,0,0.00409310521701848,0,0,0.00941500249141542,0
LDO IM Equity,0,0,0,0,0,0,0
LEG GY Equity,0,0,0,0,0,0,0
LGEN LN Equity,0,0,0,0,0,-0.00391647223740171,0
LHA GY Equity,0,0,0,0,0,0,0
LHN FP Equity,0,-0.00675236806657196,0,0,0,0,0
LHN SE Equity,0,0,0,0,0,0,0
LI FP Equity,0,0,0,0,0,0,0
LIGHT NA Equity,0,0,0,0,0,0,0
LINU GY Equity,0.00602470363619743,0,0,0,0,0,0
LISN SE Equity,0,0,0,0,0,0,0
LLOY LN Equity,-0.00285209428163475,0,0,0,0,0,-0.00419843922405615
LOGN SE Equity,0,0,0,0,0,0,0
LONN SE Equity,0,0,0,0,0,0,0
LOOMB SS Equity,0,0,0,0,0,0,0
LR FP Equity,0,0,0,0,0,0,0
LSE LN Equity,0,0,0,0,0,0,0.0068290426733796
LUN DC Equity,0,0,0,0,0,0,0
LUNDB SS Equity,0,0,0,0,0,0,0
LUPE SS Equity,-0.00207277845788847,0,0,0,0,0,0
LUX IM Equity,0,0,0,0,0,0,0
LXS GY Equity,0,0,0,0,0,0,0
MAERSKB DC Equity,0,0,0,0,0,0,0
MAN GY Equity,0,0,0,0,0,0,0
MAP SM Equity,0,0,0,0,0,0.0051314975221576,0
MAP SQ Equity,0,0,0,0,0,0,0
MB IM Equity,0,0,0,0,0,0,0
MC FP Equity,0,0,0,0,0,0,0
MCRO LN Equity,0,0,0,0,0,0,0
MCX Index,-0.0115742797709712,-0.0033379748827545,0,0,0,0,-0.0295874933394452
MDAX Index,-0.00344688067910243,0,0,0,0,0,0
MDC LN Equity,0,0,0,0,0,0,0
MERL LN Equity,0,0,0,0,0,0,0
METSO FH Equity,0,0.00373360815010292,0,0,0,0,0
MF FP Equity,0,0,0,0.0146782703258574,0,0,0
MGGT LN Equity,0,0,0,0,0,0,0
MHG NO Equity,0,0,0,0,0,0,0
MKS LN Equity,0,0,0,0,0,0,0
ML FP Equity,0,0,0,0,0,0,0
MMB FP Equity,0,0,0,0,0,0,0
MNDI LN Equity,0,0.00870542356935387,0,0,0,0,0
MONC IM Equity,0.00445315529946314,0,0,0,0,0,0
MONY LN Equity,0,0,0,0,0,0,0
MOR GY Equity,0,0,0,0,0,0,0
MRK GY Equity,-0.000633320055621795,0,0,0,0,0,0
MRL SM Equity,0,0,0.00996099530146527,0,0,0,0
MRL SQ Equity,0,0,0,0,0,0,0
MRO LN Equity,0,0,0,0,0,0,0.00800045717580434
MRW LN Equity,0,0,0,0,0,0,-0.00301991170567378
MT NA Equity,0,0,-0.000792094359946121,0,0,0,0
MTRO LN Equity,0,0,0,0,0,0,0
MTX GY Equity,0,0,0,0,0,0,0
MUV2 GY Equity,0,0,0,0,0,0,0
NDA GY Equity,0,0,0,0,0,0,0
NDA SS Equity,0,0,0,0,0,0.00615209155569021,0
NDX Index,0,0,0,-0.0218453921829896,0,0,0
NESN SE Equity,0,0,0,0,0,0,0
NESTE FH Equity,0,0,0.00449178651573648,0,0,0,0
NG/ LN Equity,0,0,0,0,0,0,0
NHY NO Equity,0,0,0,0,0,0,0
NIBEB SS Equity,0,0,0,0,0,0,0
NK FP Equity,0,0,0,0,0,0,0
NMC LN Equity,0,0,0,0,0,0,0
NN NA Equity,0,0,0,0,0,0,0
NOKIA FH Equity,0,0,0,0,0,0,0
NOVN SE Equity,0,0,0,0,0,0,0
NOVOB DC Equity,0,0,0,0,0,0,0
NRE1V FH Equity,0,0,0,0,0,0,0
NTGY SQ Equity,0,0,0,0,0,0,0
NXG LN Equity,0,0,0,0,0,0.0046320929023681,0.00482518809415601
NXI FP Equity,0,0,0,0.00380658616708997,0,0,0
NXT LN Equity,0,0,0,0,0,0,0
NZYMB DC Equity,0,0,0,0,0,0,0
O2D GY Equity,0,0,0,0,0,0,0
OCDO LN Equity,0,0,0,0,0,0,0
OERL SE Equity,0,0,0,0,0,0,0
OMU LN Equity,0,0,0,0,0,0,0
OMV AV Equity,0,0,0,0,0,0,0
OR FP Equity,0,0,0,0,0,0,0
ORA FP Equity,0,0,0,0,0,0,0
ORK NO Equity,0,0,0,0,0,0,0
ORNBV FH Equity,0,0,0,0,0,0,0
ORP FP Equity,0,0,0,0,0,0,0
ORSTED DC Equity,0,0,0,0,0,0,0
OSR GY Equity,0,0,0,0,0,0,0
PAH3 GY Equity,0,0,0,0,0,0,0
PARG SE Equity,0,0,0,0,0,0,0
PGHN SE Equity,0,0,0,0,0,0,0
PHIA NA Equity,0,0,0,0,0,0,0
PHNX LN Equity,0,0,0,0,0,0,0
PIRC IM Equity,0,0,0,0,0,0,0
PLUS LN Equity,0,0,0,0,0,0,0.00511021416616478
PNDORA DC Equity,0,0,0,0,0,0,0
PNN LN Equity,0,0,0,0,0,0,0
POLY LN Equity,0,0,0,0,0,0,0
POM FP Equity,0,0,0,0,0,0,0
PPB ID Equity,0,0,0,0,0,0,0
PPB LN Equity,0,0,0,0,0,0,0
PROX BB Equity,0,0,0,0,0,0,0
PRSM LN Equity,0,0,0,0,0,0,0.00335281472673281
PRU LN Equity,0.00545523030229469,0,0,0,0,0.0071889795862484,0
PRY IM Equity,0,0,0,0,0,0,0
PSM GY Equity,0,0,0,0,0,0,0
PSN LN Equity,-0.00126437755383236,-0.00671859219072175,-0.000834966309134575,0,0,0,0
PSON LN Equity,0,0,0,0,0,0,0
PSPN SE Equity,0,0,0,0,0,0,0
PST IM Equity,0,0,0,0,0,0,0
PTEC LN Equity,0,0,0,0,0,0,-0.00018903318965248
PUB FP Equity,0,0,0,0,0,0,0
QIA GY Equity,0,0,0,0,0,0,0
QLT LN Equity,0,0,0,0,0,0,0
RACE IM Equity,0,0,0,0,0,0,0
RAND NA Equity,0,0,-0.00302038373443616,0,0,0,0
RB/ LN Equity,0,0,0,0,0,0,0
RBI AV Equity,0,0,0,0,0,0,0
RBREW DC Equity,0,0,0,0,0,0,0
RBS LN Equity,0,0,0,0,0,0.0171895330294626,0
RCO FP Equity,0,0,0,0,0,0,0
RDSA LN Equity,0,0.0149118549790759,0,0,0,0,0
RDSA NA Equity,0,0,-0.00406680602634342,0,0,0,0
RDSB LN Equity,0,-0.0149808717616014,0,0,0,0,0
REC IM Equity,0.00307254137394554,0,0,0,0,0,0
REE SQ Equity,0,0,0,0,0,0,0
REL LN Equity,0,0,0,0,0,0,0
REN NA Equity,0,0,0,0,0,0,0
REP SQ Equity,0,0,0,0,0,0,0
RF FP Equity,0,0,0,0,0,0,0
RHIM LN Equity,0,0,0,0,0,0,0.00228639214387113
RHM GY Equity,0,0,0,0,0,0,0
RI FP Equity,0,0,0,0,0,0,0
RIO LN Equity,0,-0.00533915896522248,0,0,0,0,0
RMG LN Equity,0,0,0,0,0,0,0
RMS FP Equity,0,0,0,0,0,0,0
RMV LN Equity,0,0,0,0,0,0,0
RNO FP Equity,0,0,0,0,0,0,0
ROCKB DC Equity,0,0,0,0,0,0,0
ROG SE Equity,0,0,0,0,0,0,0
ROR LN Equity,0,0,0,0,0,0,0
RPC LN Equity,0,0,0,0,0,0,0
RR/ LN Equity,0.00420895276503655,0,0,0,0,0,0
RRS LN Equity,0,0,0,0,0,0,0
RRTL GY Equity,0,0,0,0,0,0,0
RSA LN Equity,0.00788548462944919,0,0,0,0,0.00228487505137698,0
RTO LN Equity,0,0,0,0,0,0,0
RUI FP Equity,0,0,0,0,0,0,0
RUKM150 Index,0,-0.00394634826239092,0,0,0,0,-0.00452901972362738
RWE GY Equity,0,0,0,0,0,0,0
RXL FP Equity,0,0,0,0,0,0,0
RYA ID Equity,0,0,0,0,0,0,0
SAABB SS Equity,0,0,0,0,0,0,0
SAB SM Equity,0,0,0.0115633353726946,0,0,0,0
SAB SQ Equity,0,0,0,0,0,0,0
SAF FP Equity,0,0,0,0,0,0,0
SAMPO FH Equity,0,0,0,0,0,0,0
SAN FP Equity,0,0,0,0,0,0,0
SAN SM Equity,0,0,0.00754277143792951,0,0,0,0
SAN SQ Equity,0,0,0,0,0,0,0
SAND SS Equity,0,0,0,0,0,0,0
SAP GY Equity,0,0,0,0,0,0,0
SBMO NA Equity,0,0,0,0,0,0,0
SBRY LN Equity,0,0,0,0,0,0,-0.0031025237779053
SCAB SS Equity,0,0,0,0,0,0,0
SCHA NO Equity,0,0,0,0,0,0,0
SCHP SE Equity,0,0,0,0,0,0,0
SCMN SE Equity,0,0,0,0,0,0,0
SCR FP Equity,0,0,0,0,0,0,0
SDF GY Equity,0,0,0,0,0,0,0
SDR LN Equity,0,0,0,0,-0.0116710716250954,-0.00352051407797196,0
SDRC LN Equity,0,0,0,0,0.0118888184229816,0,0
SEBA SS Equity,0,0,0,0,0,0,0
SECUB SS Equity,0,0,0,0,0,0,0
SESG FP Equity,0,0,0,0,0,0,0
SEV FP Equity,0,0,0,0,0,0,0
SGE LN Equity,0,0,0,0,0,0,0
SGO FP Equity,0,0,0,0,0,0,0
SGRE SQ Equity,0,0,0,0,0,0,0
SGRO LN Equity,0,0,0,0,0,0,0
SGSN SE Equity,0,0,0,0,0,0,0
SHA GY Equity,0,0,0,0,0,0,0
SHBA SS Equity,0,0,0,0,0,0,0
SHL GY Equity,0,0,0,0,0,0,0
SHP LN Equity,0,0.00407433566592585,0,0,0,0,0
SIE GY Equity,0,0.00618314712682707,0,0,0,0,0
SIGB LN Equity,0,0,0,0,0,0,0.00229662082141445
SIGC LN Equity,0,0,0,0,0,0,0.00410864402631897
SIKA SE Equity,0,0,0,0,0,0,0
SIM DC Equity,0,0,0,0,0,0,0
