ABC1,ABC11,ABC23,ABC24,ABC27,ABC28,ABC29,ABC32,ABC33,ABC34,ABC35,ABC36,ABC37,ABC38,ABC5,ABC6,ABC7,ABC8,ABC9,AC101,AC102,AC104,AC106,AC107,AC108,AC109,AC110,AC111,AC53,AC57,AC67,AC71,AC94,AC95,AC96,AC98,AC99,DH16,DH32,DH38,DH42,DH48,DH51,DH52,DH56,DH58,DH59,DH61,GJ13,GJ15,GJ16,GJ17,GJ18,GJ19,GJ22,GJ4,GJ7,GJ9,IB113,JR10,JR14,JR15,JR16,JR17,JR18,JR22,JR28,JR32,JR33,JR5,MC110,MC114,MC122,MC127,MC129,MC130,MC132,MC133,MC138,MC140,MC142,MC143,MC145,MC146,MC148,MC149,MC53,MC79,MC89
2.78066150501324e-06,5.24367863594949e-06,1.4774150199179e-05,-4.59859378636017e-06,7.87583677753829e-06,0,5.41535992216628e-06,3.10479611316145e-06,0,-7.43898408805967e-06,2.71620076654199e-05,2.91132224734786e-05,2.80390011587164e-06,-2.31899325806604e-05,-1.77484561329609e-05,-5.17556081397998e-06,2.20186430283477e-06,4.71777911065268e-06,2.58516984920302e-05,-3.38021939410666e-06,5.11750993378666e-07,1.45190252570172e-05,4.4050932526632e-06,-6.68268703619607e-06,7.74926421706757e-06,0,-2.14631245850316e-06,3.43890692429886e-06,5.40320680147591e-05,-1.70548201043497e-05,3.80824062329386e-05,4.31087710677535e-07,2.59452953862949e-05,2.45961511458087e-05,1.49392719431803e-06,1.06438196020574e-05,1.40863462094373e-05,-3.90671300465643e-06,-1.59880093061322e-05,0,-5.17724642790078e-06,1.58307672825096e-05,2.35102428542336e-05,-9.36783820546993e-05,3.26094788709844e-05,1.12405366137101e-05,1.94313793458425e-05,8.33725324837966e-06,-7.22653269924168e-06,-7.02740024779962e-06,-4.48992549956548e-06,1.2460874928786e-05,5.95570147280994e-06,-9.51692194426058e-05,2.29409043565722e-05,2.65783219964045e-06,7.64964531147875e-05,-3.63097562440226e-05,0,5.03701969604398e-05,2.52744368920516e-05,-0.000265566396627307,1.03332160686576e-05,3.57944775578199e-05,-7.16389429648664e-06,8.910787852252e-06,1.29189651244009e-05,6.57435480744432e-06,-7.91960812502194e-06,1.36700992955848e-06,2.37141184828851e-05,0,-1.26670391740587e-06,2.47214461795997e-07,2.50228286824025e-05,-3.43701272314172e-05,0,-1.43729973846015e-05,9.71868739795779e-06,-1.58819942622453e-06,1.40182112382152e-06,3.88349546875572e-05,-2.2706710717855e-06,0,1.73516843992901e-06,5.2180239291878e-06,0,-5.22199948096111e-06,0
1.38967447176533e-06,-2.61922009787687e-06,-1.29731307759719e-05,9.20387643640959e-06,2.5562745588229e-05,0,1.35288724304618e-05,3.10199395060444e-06,-5.52546921911318e-06,-1.34786929638511e-05,4.77008669138893e-06,-1.80972754719268e-05,-9.34250325493341e-06,4.66334178901713e-06,-5.43503035561062e-06,5.18724379550138e-06,3.3011035806199e-06,2.59322707378243e-05,1.40462138607974e-05,1.12752516499488e-06,1.73973712675698e-05,2.22858386055071e-06,2.39345518913345e-06,-4.01673156160005e-06,-1.35435315293078e-05,0,-2.89718760308022e-06,-1.37332243947562e-06,-3.58942693222271e-05,-2.47817768966315e-05,2.45887051499688e-05,-2.15392063891346e-07,1.64107431413757e-05,-1.33787967163178e-05,1.79240728270758e-05,3.54201511388667e-06,1.40186233911232e-05,0,0,-4.07432550903568e-06,-2.59040050417578e-06,-9.47325214134923e-06,-1.57540827889734e-05,2.48968581995824e-05,1.79469874623517e-05,-2.99449683148521e-05,-2.66739478468523e-05,-2.21922522829584e-05,-7.22993983394451e-06,1.40805418884478e-05,2.24968898715071e-06,1.24505851889622e-05,-5.95319275272873e-06,-2.81822802673056e-05,-7.63679476880941e-06,-2.39134791022239e-05,-6.9194518953827e-06,1.45636069877605e-05,0,-2.02430831007136e-05,-2.96162779177775e-06,2.72695695865619e-05,8.25038293550812e-06,6.28608765327572e-06,0,3.95969762279176e-05,9.67765462080216e-06,1.31427947657568e-05,3.8575616565611e-05,7.51405921370073e-06,-3.37656637263006e-06,0,-2.21766091323651e-06,4.60545547782505e-06,7.85249312902119e-06,-5.90894334266681e-05,0,-4.79656789898179e-05,0,6.35745518122138e-06,3.9665448332957e-06,6.4246661490499e-06,1.06013700155546e-05,0,0,-9.11960131788828e-06,0,4.70254956184884e-05,0
8.3360793820664e-06,-2.62052905344802e-06,1.03678379098948e-05,-1.37857626362344e-05,1.56638485467348e-05,0,-2.70102251123104e-05,-7.23145929693034e-06,2.39636253586024e-05,2.25737159308138e-06,-4.7660143350787e-06,-1.81587054633487e-06,0,3.72659886433799e-06,2.56572423280724e-05,4.14044865118404e-06,2.30899726507222e-05,4.699504042584e-06,7.00827460319485e-06,-3.38178976316235e-06,-4.58580825192851e-06,-3.34169913620025e-06,1.19420018676382e-06,2.68067687580639e-06,-1.486731318483e-05,0,1.15718054001014e-06,2.74843539060636e-06,5.99648483044083e-06,6.85737602414088e-06,1.31830027279508e-05,-4.30935865763594e-07,2.56893965824842e-05,1.33991086546523e-05,3.72656494588086e-05,-1.77002229543802e-06,-1.39515486380556e-05,0,0,-4.07595589139079e-06,-2.5912900647894e-06,-6.32557399762547e-06,-1.77206298248436e-05,1.16778270772079e-06,-2.1317060543394e-05,0,-2.06586773470132e-05,-6.96886728587188e-06,0,-1.05218647870793e-05,-2.24732338358903e-06,-3.73209372867123e-05,-5.95570147281164e-06,-3.38868643149662e-05,0,-5.32816081867538e-06,-3.46129926553952e-05,-2.90953983403758e-05,0,-4.31543471587157e-05,-1.33335688320593e-05,2.2663798908957e-05,-2.26530606157486e-05,-6.28072104457912e-06,0,6.56164042017818e-06,6.44599721238377e-06,-2.62619620353055e-05,-2.49392331770932e-05,1.36171459908045e-06,0,0,-1.90224740537744e-06,1.25647604729551e-06,1.56872485279113e-05,-6.37906393661442e-05,0,1.9260897311974e-05,2.58811751030879e-05,1.10930157292218e-05,0,6.41676373066239e-06,9.06730175794303e-06,0,3.46578263198393e-06,-1.30578826209606e-06,-7.34626205197323e-06,-2.07907313444567e-05,0
1.38738236024194e-05,7.86551795392498e-06,6.66585407008692e-06,-9.21057503643609e-06,1.75757142611604e-05,0,-8.13162963286064e-06,-2.07048752847598e-06,1.46938588115426e-05,2.34841514111967e-05,-1.11302022799075e-05,5.44946142224301e-06,-1.87105673942799e-06,3.72334561347484e-06,-1.49933678047166e-05,2.06650090054585e-06,3.28092363005143e-06,-2.58318777897624e-05,9.33450921128987e-06,9.02439481197366e-06,-1.02020486723612e-06,4.45795257190555e-06,1.59058730923433e-06,1.07150892385701e-05,-8.42436387265865e-06,0,-2.73319902405471e-06,-6.86214174672683e-07,3.59647746636575e-05,-1.02773451855767e-05,-3.75785040664425e-06,6.46859493956386e-07,6.96422292974386e-06,1.33787967163178e-05,4.15609129414542e-05,8.85257394559955e-06,0,1.56533083143678e-05,0,-8.15517515819646e-06,-1.81452616560148e-05,1.26646138260078e-05,-5.59214267572909e-06,-4.93551699532442e-05,7.69489393676757e-06,2.62714867366936e-05,-6.08680444057694e-06,2.93138739556468e-05,-5.06334512804518e-05,1.40676594164552e-05,-1.49979265810019e-06,1.24711816905137e-05,2.97910615408491e-05,7.92609559246406e-05,3.82009143825781e-05,1.59938823280967e-05,1.38767494711412e-05,-8.74772978016907e-05,0,-4.67026487126e-05,-1.4846375937419e-05,-1.35680071295561e-05,-4.13653331389432e-06,-1.46675378576433e-05,0,-1.63884333321533e-05,6.44215459109472e-06,-6.57731489515591e-06,-3.32206064087703e-05,-7.48496964557146e-06,0,0,-5.0758531123236e-06,5.02024797223401e-06,1.2521514398569e-05,5.42845833037384e-05,0,4.80774436787262e-05,2.57874451796725e-05,1.41898399644861e-05,2.32450356367909e-07,1.92266421856088e-05,7.54215010985403e-07,0,0,-6.53108124535756e-06,0,3.12588767063381e-05,0
4.15236300202182e-06,-2.61791244930154e-06,7.43553256114132e-06,9.2240015306583e-06,-9.73562341385231e-06,3.74336534402487e-05,1.08536500910018e-05,1.03586778097315e-06,1.64941199193825e-05,-3.18293646545434e-06,3.18641064944188e-06,-1.81463861244998e-06,1.96514723638245e-05,9.30024509427621e-06,-8.10685621921542e-06,-4.12928841223206e-06,4.37122462766816e-06,7.06821133862269e-06,0,-1.12595552439396e-06,-2.5511443436184e-06,-5.56851853243241e-06,0,1.33559051570021e-05,-3.89369392605691e-06,0,3.15489153261238e-06,3.43218812210225e-06,1.19600671378065e-05,8.57535750950193e-06,7.52067645103316e-06,-8.61568255565383e-07,-6.95286204405096e-06,2.00378194008018e-05,2.36370690853015e-05,-5.3041651726285e-06,0,-7.77400850141788e-06,0,1.2242564630513e-05,0,-3.15942769238898e-06,1.52625332550006e-05,5.0594840897554e-06,-7.68741024912646e-06,3.36992554428252e-05,0,6.93507883842424e-06,2.17719390266841e-05,7.0081821978968e-06,-2.25126882492258e-06,1.2460874928786e-05,-5.94567925745814e-06,6.75559817106394e-05,3.04930893380548e-05,2.92704790028604e-05,-9.70487788605647e-05,8.8055660101206e-05,0,3.33677208115034e-05,-4.46439257600515e-06,3.17010266147847e-05,6.20967795824086e-06,4.19909698452265e-06,-2.15139194987571e-05,-1.47848929907981e-05,0,-1.3160555299224e-05,-1.02714693165048e-05,2.0480643238039e-06,0,0,-1.271097110183e-06,-4.36747101272753e-06,9.37423386723016e-06,-3.55621547654548e-05,4.94171941919112e-05,-1.43674372308771e-05,1.60589948133448e-05,-9.39837666241253e-06,2.32399042823404e-06,1.27706950135337e-05,1.20655859286701e-05,0,0,7.85016239510935e-06,0,0,0
0,-2.61922009787687e-06,2.76263650487895e-05,9.21057503643609e-06,7.80122087863316e-06,0,2.70958812173225e-06,2.07111135719773e-05,5.48442721941138e-06,-1.33679206936656e-05,0,1.81525437037725e-05,7.4648245409857e-06,1.76320181907018e-05,2.6379239106718e-05,-4.13672187472004e-06,-7.64186314103486e-06,1.64777237266251e-05,-1.63124481546998e-05,2.25243365520444e-06,5.10545230869466e-07,-4.45873769916372e-06,-2.7796183420149e-06,-1.86322655705978e-05,-9.09124925761183e-06,0,1.81770253678144e-06,-1.37064365708432e-06,1.79260493256981e-05,1.37060313496509e-05,1.87768293872489e-06,2.15695860878499e-07,-4.64281528649547e-06,4.44276175880407e-06,1.47334553606298e-05,0,8.01064193778462e-06,-1.30004041681027e-06,0,-8.15191178278302e-06,-2.59842860491186e-06,0,7.32950370861748e-06,1.52871214578479e-05,2.30846818103027e-05,7.46645029529277e-06,-2.43598617266595e-06,-1.3849174079756e-06,-3.62351190637857e-05,-1.04931426812006e-05,6.76092823906409e-06,-2.49011703779208e-05,1.18963632954377e-05,0,7.6097977037849e-06,0,0,2.18693244504233e-05,0,6.01510515719279e-05,8.93509227596981e-06,-4.51462874266423e-05,6.20236384992635e-06,0,7.19363542485687e-06,-4.44673426834927e-06,6.43831654844289e-06,3.95172670391488e-05,3.7311341343569e-05,4.77453721814915e-06,-1.013447052586e-05,0,4.45071091492617e-06,-8.55535557815273e-06,-6.19236874448519e-06,7.91517900803047e-05,0,4.79471020421178e-06,1.28182867691036e-05,0,1.39132290395162e-06,9.55463170884344e-06,2.25674911549092e-06,0,0,2.61157652419212e-06,0,-5.1916390188625e-06,0
4.14943674197811e-06,0,1.55459363984604e-05,0,0,0,8.1259011160358e-06,-3.08805866780748e-06,-7.30653946951085e-06,1.22059528429706e-05,-3.18459295939657e-06,0,1.86417129142955e-06,-8.31762331573449e-06,7.24641660878728e-06,0,-2.18728242003377e-06,4.69810413074529e-06,-1.16804576719932e-05,4.50277736964865e-06,2.04192770823627e-06,-6.69282146347897e-06,-1.99033364460667e-06,-2.67497128472628e-06,7.80445235929496e-06,0,3.97678163457048e-06,-1.37153542263831e-06,2.98416891278246e-06,1.71035378511564e-05,-1.87706242222168e-06,-2.15619831318795e-07,-9.29575666958155e-06,2.22026320348787e-06,-1.47087430906522e-06,1.76953007566606e-06,0,3.90231602884928e-06,-1.20741335444488e-05,1.2237661721171e-05,2.59932368882675e-06,-6.32221290623459e-06,1.35104587165008e-06,-1.80789909197325e-05,-1.70499699083111e-06,-3.73075934503962e-06,-2.43649229902809e-06,5.54134628736097e-06,0,-3.5072882623596e-06,7.48845318077356e-07,-1.24711816905155e-05,0,-5.6026643505024e-06,-7.60643648571785e-06,-2.65238900906341e-06,8.37183914015198e-05,-7.27782436628928e-06,0,-3.34393724780925e-05,7.43540577162007e-06,-8.1626100034777e-05,0,-4.19670160689314e-06,1.43723540318291e-05,-1.48168104858601e-05,-3.21724153812394e-06,2.62737704714748e-05,9.02088753229455e-06,1.3613089647048e-06,0,0,-1.9046439375417e-06,-1.226152976817e-06,0,2.10453344621107e-05,3.06569542289742e-06,-4.79285394784159e-06,2.23916927680411e-05,4.71964923830876e-06,-2.54739205980872e-06,-3.17905479160787e-06,-1.20304631873425e-05,0,3.45670990258059e-06,1.30493312898401e-05,0,1.03893183390849e-05,0
-1.38217153447548e-06,2.62052905344802e-06,1.18807960785337e-05,4.59859378636017e-06,0,-1.83855554507416e-05,1.89404214026467e-05,4.28856235291294e-05,-1.82864547262524e-06,0,9.55923194832565e-06,3.61823106493174e-06,-1.4909306189095e-05,4.62993095987307e-06,-1.53547222490046e-05,4.14418214861493e-06,-4.37679448575642e-06,4.69530680765597e-06,7.02063051751642e-06,-7.87255577542821e-06,-1.02045773744736e-06,-2.23330210443332e-06,1.19630561727645e-06,-6.69217611966955e-06,-3.89710234616944e-06,0,-1.65004085509559e-07,1.37242834934576e-06,5.96717076693653e-06,-2.56011359431747e-06,0,4.31391721756997e-07,2.32901881584855e-06,-4.43940957437841e-06,5.88448423462294e-06,-3.53807625915771e-06,9.98586871696425e-06,-1.29857969724082e-06,0,-1.22229765271056e-05,5.19685720982465e-06,-6.32893866464548e-06,-2.89022078392401e-05,3.68861949468992e-05,7.67414179562203e-06,-3.73199183904062e-06,2.07144884038526e-05,-4.15098431078637e-06,0,-3.51049126533892e-06,-1.49716605099319e-06,1.24815055164182e-05,1.18863579436316e-05,3.92343316412263e-05,0,-7.95949572693329e-06,9.0198871562422e-05,2.18454104816421e-05,2.48574039871241e-05,9.93718699308027e-06,7.42667467043322e-06,5.48582250458739e-05,8.26008926837342e-06,1.25972909535679e-05,3.58565324979349e-06,2.58994220087976e-05,1.60909981038743e-05,1.31133001634997e-05,9.27090990960519e-06,1.36049842051661e-06,0,0,3.17640744915179e-06,3.18023276129914e-06,7.75784213911727e-06,3.83209402710422e-05,-1.82159815330575e-05,-1.91788408168417e-05,1.91327137489576e-05,-1.56979885358182e-06,9.28571258205036e-07,-6.36198647930307e-06,5.27626163959484e-06,0,0,-1.30067420885025e-06,0,2.07544895117818e-05,0
-5.5299842562739e-06,-2.61922009787687e-06,9.15319670452737e-06,4.59525421207814e-06,1.94775995999187e-06,1.85497121958375e-05,-2.69912639153155e-06,5.14368347391482e-06,-5.48744644716773e-06,-8.87248881546305e-06,-3.18096379363087e-06,7.23157097600754e-06,8.40480833585807e-06,-4.62491043183157e-06,-1.17147390330662e-06,-6.20508281208035e-06,0,-7.03876922058022e-06,-2.33773724875891e-05,2.25295650424313e-06,-3.57248756565261e-06,-1.11704521072393e-06,-3.98347156345724e-06,-4.02244526225666e-06,-2.59977505322341e-06,0,4.23951244518222e-06,-1.37153542263831e-06,5.9648380183959e-06,1.53655481880054e-05,-1.12660976323493e-05,0,-6.98324046914719e-06,4.44164380164282e-06,-2.94026911337698e-06,0,0,5.19723858592074e-06,-4.04574625734434e-06,1.2237661721171e-05,-1.03865611406268e-05,6.3356787484204e-06,-3.59243524839807e-05,5.11605030244646e-06,8.51855377679277e-07,-3.73322514764705e-06,2.43270146981064e-06,-2.7698348159512e-06,0,-3.51370012390006e-06,0,-2.49423633810291e-05,0,1.11785216945431e-05,7.6097977037849e-06,1.06219866818716e-05,3.44875264382483e-05,-5.08891540022661e-05,0,-3.4642109912193e-06,0,-1.8187850798557e-05,-2.06178813961921e-06,-4.19191904095936e-06,0,-2.13815447959684e-05,-6.42682981062229e-06,-1.31015393561782e-05,-9.97998937728762e-06,-2.03953326146137e-06,0,0,9.51922211411275e-07,-7.23714993503995e-07,1.55991575096728e-06,2.06451435383345e-05,2.14402211249217e-05,9.60429926087765e-06,-1.9081442519617e-05,3.14187277796593e-06,-4.63876476752571e-07,-9.55463170884344e-06,4.51765303143909e-06,0,0,2.60219769893384e-06,0,0,0
1.66055484941018e-05,0,-1.06639541715786e-05,-9.1838389695669e-06,-5.84137404831152e-06,0,-1.35003705924772e-05,-4.10879772536703e-06,1.09839630537523e-05,2.3473054389407e-06,9.54833202592163e-06,0,0,4.62993095987307e-06,4.02305210834835e-06,1.24437671556343e-05,6.57189090386754e-06,1.174176263171e-05,3.04980094167358e-05,0,-3.06479161915487e-06,-2.23448478868907e-06,5.19681813335163e-06,9.39572950542987e-06,-8.45297108922791e-06,0,1.4327916302152e-06,2.7448566986919e-06,1.78875212790817e-05,-2.55606577056763e-06,5.64424401090705e-06,2.15543855338767e-07,9.3262679059143e-06,2.44167526590813e-05,1.61769040645841e-05,-1.77002229543802e-06,0,-2.59278952449608e-06,-4.05280689653727e-06,-8.14865101806991e-06,-7.80065816884821e-06,-3.16446933232274e-06,2.94446117637132e-05,4.02564072291333e-05,1.70352716583902e-06,-3.7344592716628e-06,9.72878766791741e-06,0,0,-3.51691485411356e-06,-7.49107794529622e-06,0,-1.18763694075445e-05,5.58480725297092e-06,0,1.59143340543759e-05,4.12914850899911e-05,-1.45955272222543e-05,0,1.36391225979109e-05,-5.93437124029111e-06,2.27755934327231e-05,4.12519146775452e-06,1.25829268817851e-05,-7.16759848174725e-06,2.09454743633151e-05,-6.4306541663579e-06,0,-7.99166227475608e-06,3.40225892980514e-06,0,0,3.48928291642098e-06,-2.20725867232961e-06,1.24299297507271e-05,3.41791820801316e-05,3.05750932029956e-06,4.79842703382745e-06,9.56635687447882e-06,-1.56866296439688e-06,2.08836433235851e-06,0,6.01799764130828e-06,0,3.44768455035478e-06,0,0,1.03531815796446e-05,0
