date,V1
SGRO LN Equity,0
SGSN SE Equity,0
SHA GY Equity,0
SHBA SS Equity,0
SHL GY Equity,0
SHP LN Equity,0.0040806928987824
SIE GY Equity,0.00620856852474411
SIGB LN Equity,0.00230182526903886
SIGC LN Equity,0.00409628131294525
SIKA SE Equity,0
SIM DC Equity,0
SK FP Equity,0
SKAB SS Equity,0
SKFB SS Equity,0
SKG ID Equity,0
SKG LN Equity,0
SKY LN Equity,0
SLA LN Equity,0.0107841560593691
SLHN SE Equity,0
SMDS LN Equity,0
SMIN LN Equity,0
SMS LN Equity,0.00226162740546116
SMT LN Equity,0
SMWH LN Equity,0
SN/ LN Equity,0
SOBI SS Equity,0
SOLB BB Equity,0
SOON SE Equity,0
SOP FP Equity,0
SOW GY Equity,0
SOX Index,0
SPIE FP Equity,0.00227684144706721
SPM IM Equity,0
SPR GY Equity,0
SPSN SE Equity,0
SPX LN Equity,0
SRCG SE Equity,0
SREN SE Equity,0
SRG IM Equity,0
SRT3 GY Equity,0
SSE LN Equity,0
SSPG LN Equity,0.00487258501073062
STAN LN Equity,0
STB NO Equity,0
STERV FH Equity,0
STJ LN Equity,0
STM IM Equity,0
STMN SE Equity,0
SU FP Equity,0
SUBC NO Equity,0.00276420632528382
SVT LN Equity,0
SW FP Equity,0
SWEDA SS Equity,0
SWMA SS Equity,0
SX3E Index,0
SX3P Index,0
SX4E Index,0
SX5E Index,0
SX6E Index,0.00514996487515932
SX7E Index,0
SX86E Index,0
SXAP Index,0
SXDP Index,0
SXIE Index,0
SXIP Index,0
SXKP Index,0
SXMP Index,0
SXNP Index,0
SXOP Index,0
SXQE Index,0
SXS LN Equity,0
SY1 GY Equity,0
SYDB DC Equity,0
TATE LN Equity,0
TCAP LN Equity,0.00680159281452942
TECN SE Equity,0
TEF SQ Equity,0
TEG GY Equity,0
TEL NO Equity,0
TEL2B SS Equity,0
TELIA SS Equity,0
TEMN SE Equity,0
TEMN SW Equity,0
TEN IM Equity,0.010899134238644
TEP FP Equity,0
TGS NO Equity,0
TIT IM Equity,0
TITR IM Equity,0.00214304479724066
TKA GY Equity,0
TLW LN Equity,0
TMO LN Equity,0.00320622402319845
TNET BB Equity,0
TPK LN Equity,0
TPZ SM Equity,0.00229617729930362
TRELB SS Equity,0
TRN IM Equity,0
TRYG DC Equity,0
TSCO LN Equity,0.0122534862347434
TUI LN Equity,0
TW/ LN Equity,0
UBI FP Equity,0
UBI IM Equity,0
UBSG SE Equity,0
UCB BB Equity,0
UCG IM Equity,0
UDG LN Equity,0
UG FP Equity,0
UHR SE Equity,0
UHR SW Equity,0
UKX Index,0
ULVR LN Equity,0
UMI BB Equity,0
UN01 GY Equity,0
UNA NA Equity,0
UPM FH Equity,0
URW NA Equity,0
UTDI GY Equity,0
UU/ LN Equity,0
VACN SE Equity,0
VCT LN Equity,0
VIE FP Equity,0
VIFN SE Equity,0
VIS SQ Equity,0
VIV FP Equity,0.0151739482005866
VNA GY Equity,0
VOD LN Equity,0.00587223566559893
VOE AV Equity,0
VOLVB SS Equity,0
VOW3 GY Equity,0.00690279984492159
VPK NA Equity,0
VWS DC Equity,0
WAF GY Equity,0.013657183290467
