Manager,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
DH,INDV LN Equity,0,-0.1,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.5333334,SXDP Index,0.9666694
DH,INGA NA Equity,0,-3.8,Banks,Banks,Financials,0.09751341,SX7P Index,0.6701741
DH,IPN FP Equity,0,-0.2,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.273148,SXDP Index,0.9666694
DH,ISP IM Equity,0,-2.9,Banks,Banks,Financials,2.045777,SX7P Index,0.6701741
DH,ISS DC Equity,0,-0.5,Support Services,Industrial Goods & Services,Industrials,0.8784096,SXNP Index,0.650126
DH,ITRK LN Equity,0,-1.1,Support Services,Industrial Goods & Services,Industrials,0.4265908,SXNP Index,0.650126
DH,ITX SM Equity,0,-8,General Retailers,Retail,Consumer Services,1.059105,SXRP Index,0.6456596
DH,IWG LN Equity,0,-0.3,Support Services,Industrial Goods & Services,Industrials,0.6666667,SXNP Index,0.650126
DH,KBC BB Equity,0,-1.2,Banks,Banks,Financials,-0.3977968,SX7P Index,0.6701741
DH,KCR FH Equity,0,-0.2,Industrial Engineering,Industrial Goods & Services,Industrials,0.3471218,SXNP Index,0.650126
DH,KGX GR Equity,0,-0.4,Industrial Engineering,Industrial Goods & Services,Industrials,4.682489,SXNP Index,0.650126
DH,KN FP Equity,0,-0.4,Banks,Banks,Financials,-0.06684492,SX7P Index,0.6701741
DH,KNEBV FH Equity,0,-1.9,Industrial Engineering,Industrial Goods & Services,Industrials,0.6511628,SXNP Index,0.650126
DH,KNIN SW Equity,0,-0.8,Industrial Transportation,Industrial Goods & Services,Industrials,2.136317,SXNP Index,0.650126
DH,KYG IX Equity,0,-3.4,Food Producers,Food & Beverage,Consumer Goods,0.5546312,SX3P Index,1.030116
DH,LBK SM Equity,40.9,0,Banks,Banks,Financials,-0.04574566,SX7P Index,0.6701741
DH,LDO IM Equity,0,-0.4,Aerospace & Defense,Industrial Goods & Services,Industrials,2.676864,SXNP Index,0.650126
DH,LIGHT NA Equity,0,-0.3,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,3.461006,SXNP Index,0.650126
